Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
69.0,286.2426453,1035.350952,737.9869995,1222.184692,462.2306519,1207.883057,1658965715133333.5,138.53701078340762,1.1333335,0.27377394163420454,0.7058403527404613,0.44209592662959823,-0.9902511584417855,-1.168946437674031,-1.1552677805974096
70.0,286.2426453,1035.350952,737.9869995,1222.184692,462.2520752,1208.265381,1658965715150000.0,138.398089736731,1.15,0.27377394163420454,0.7058403527404613,0.4421164167325934,-0.9902511584417855,-1.168946437674031,-1.155633450598648
71.0,286.2426453,1035.350952,737.9869995,1222.184692,462.4598389,1207.586304,1658965715166666.8,138.68759652397802,1.16666675,0.27377394163420454,0.7058403527404613,0.4423151302646665,-0.9902511584417855,-1.168946437674031,-1.1549839541311728
72.0,287.4012451,1034.176147,737.7749023,1222.343262,462.4598389,1207.586304,1658965715183333.5,138.33916903401902,1.1833335,0.2748820729320066,0.7056374944752551,0.4423151302646665,-0.9891275278410254,-1.1690981003792142,-1.1549839541311728
73.0,287.7095642,1033.850464,737.6973267,1222.249634,462.7796021,1207.67395,1658965715200000.0,138.2395957719259,1.2,0.2751769616799766,0.7055632980613546,0.44262096460867845,-0.9888160315629647,-1.1690085508064016,-1.155067782279363
74.0,288.0157471,1033.664185,737.7749023,1222.343262,462.7796021,1207.67395,1658965715216666.8,138.17736427665116,1.21666675,0.2754698072806247,0.7056374944752551,0.44262096460867845,-0.9886378668593083,-1.1690981003792142,-1.155067782279363
75.0,288.7505798,1033.506836,737.6159058,1222.224976,462.7796021,1207.67395,1658965715233333.2,138.0079344192454,1.23333325,0.2761726307348653,0.7054854238483733,0.44262096460867845,-0.988487371967476,-1.168984966906645,-1.155067782279363
76.0,289.2590027,1033.391357,737.6036987,1222.472046,462.7796021,1207.67395,1658965715250000.0,137.9566271893271,1.25,0.2766589067794575,0.7054737484885422,0.44262096460867845,-0.9883769232222416,-1.1692212745598556,-1.155067782279363
77.0,289.4789429,1033.014771,737.5368652,1222.064209,462.9077148,1207.781494,1658965715266666.8,137.75695585115236,1.26666675,0.27686926640429504,0.70540982624974,0.44274349673108687,-0.9880167412742437,-1.1688312029025827,-1.1551706416724774
78.0,289.6554565,1032.913574,737.5368652,1222.064209,462.9077148,1207.781494,1658965715283333.2,137.7112017104455,1.28333325,0.2770380910878896,0.70540982624974,0.44274349673108687,-0.9879199524063844,-1.1688312029025827,-1.1551706416724774
79.0,289.8396912,1032.653931,737.3966675,1222.097778,462.9077148,1207.781494,1658965715300000.0,137.6467269686223,1.3,0.2772143005410685,0.7052757355488356,0.44274349673108687,-0.9876716194319138,-1.1688633096399876,-1.1551706416724774
80.0,290.2183533,1032.131226,737.2944946,1221.915649,462.9077148,1207.781494,1658965715316666.5,137.46179636643663,1.3166665,0.2775764681543388,0.705178013291092,0.44274349673108687,-0.9871716834143021,-1.1686891141627078,-1.1551706416724774
81.0,291.058075,1032.145142,737.2977905,1221.702271,462.9077148,1207.781494,1658965715333333.2,137.27997368138531,1.33333325,0.27837961165325326,0.705181165621987,0.44274349673108687,-0.9871849932346044,-1.1684850308890335,-1.1551706416724774
